,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
339,220000.0,2 bedroom apartment for sale,"Meadow View, 21 Naples Street,Northern Quarter",http://www.rightmove.co.uk/property-for-sale/property-78941171.html,http://www.rightmove.co.uk/estate-agents/agent/Goodwin-Fish/Manchester-75005.html,,2,2019-02-12 13:46:51.052714
340,220000.0,1 bedroom flat for sale,"6 Leftbank, Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-77104586.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M3,1,2019-02-12 13:46:51.052714
341,220000.0,2 bedroom apartment for sale,"Design House, William Fairburn Way, Manchester",http://www.rightmove.co.uk/property-for-sale/property-78502136.html,http://www.rightmove.co.uk/estate-agents/agent/Ascend/Manchester-90769.html,,2,2019-02-12 13:46:51.052714
342,220000.0,2 bedroom apartment for sale,"Albion Works, Pollard Street, Ancoats",http://www.rightmove.co.uk/property-for-sale/property-76019717.html,http://www.rightmove.co.uk/estate-agents/agent/Bright-Estate-Agent/Manchester-11070.html,,2,2019-02-12 13:46:51.052714
343,220000.0,3 bedroom terraced house for sale,"Jersey Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-79058921.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M4,3,2019-02-12 13:46:51.052714
344,220000.0,2 bedroom flat for sale,"Whitworth Street West, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-78627830.html,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Manchester-15260.html,M1,2,2019-02-12 13:46:51.052714
345,220000.0,2 bedroom flat for sale,"Bauhaus, 2 Little John Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-54953982.html,http://www.rightmove.co.uk/estate-agents/agent/Jordan-Fishwick/Manchester-49832.html,,2,2019-02-12 13:46:51.052714
346,220000.0,2 bedroom apartment for sale,"HILL QUAYS, JORDAN STREET",http://www.rightmove.co.uk/property-for-sale/property-60080343.html,http://www.rightmove.co.uk/estate-agents/agent/The-Good-Estate-Agency/Manchester-106691.html,,2,2019-02-12 13:46:51.052714
347,220000.0,2 bedroom flat for sale,"Great Ancoats Street, Manchester, Greater Manchester, New Islington, M4",http://www.rightmove.co.uk/property-for-sale/property-67201678.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M4,2,2019-02-12 13:46:51.052714
348,219950.0,1 bedroom apartment for sale,"Potato Wharf, Manchester, Greater Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-75712028.html,http://www.rightmove.co.uk/estate-agents/agent/JLL/Manchester-10733.html,M3,1,2019-02-12 13:46:51.052714
349,219950.0,2 bedroom apartment for sale,"Design House, 108 High Street, Northern Quarter, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-79109288.html,http://www.rightmove.co.uk/estate-agents/agent/Thornley-Groves/Manchester-Southern-Gateway-12532.html,M4,2,2019-02-12 13:46:51.052714
350,354950.0,2 bedroom duplex for sale,"Mason Street, Manchester, Greater Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-56818107.html,http://www.rightmove.co.uk/estate-agents/agent/Cushman-and-Wakefield/Manchester-182387.html,M4,2,2019-02-12 13:46:51.052714
351,217500.0,2 bedroom apartment for sale,"Islington Wharf, 153 Great Ancoats St, Manchester",http://www.rightmove.co.uk/property-for-sale/property-65218807.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,2,2019-02-12 13:46:51.052714
352,215000.0,2 bedroom flat for sale,"Hill Quays, 1 Jordan Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-57372567.html,http://www.rightmove.co.uk/estate-agents/agent/Jordan-Fishwick/Manchester-49832.html,,2,2019-02-12 13:46:51.052714
353,215000.0,2 bedroom apartment for sale,"Great Ancoats Street,
Manchester,
M4",http://www.rightmove.co.uk/property-for-sale/property-77490380.html,http://www.rightmove.co.uk/developer/branch/Waterside-Places-General-Partner-Limited/Islington-Wharf-Locks-192128.html,M4,2,2019-02-12 13:46:51.052714
